"id" "pop" "longitude" "latitude" "bio.1" "bio.2" "bio.3" "bio.4" "pred.bio.1" "pred.bio.2" "pred.bio.3" "pred.bio.4"
569 82 2.9228 11.4128 0.275 0.13 0.49 0.279 0.202 0.364 0.041 0.566
571 57 9.1163 3.2204 0.699 0.719 0.716 1.512 0.696 0.732 0.661 1.428
572 11 10.9736 8.3261 0.859 0.285 1.587 1.056 1.132 0.457 1.807 1.588
575 53 6.3222 5.5196 0.536 0.537 0.466 0.964 0.551 0.835 0.267 1.386
579 42 6.7398 8.8281 0.559 0.279 0.812 0.557 0.752 0.126 1.377 0.878
587 24 3.4679 9.8296 0.28 0.234 0.369 0.534 0.244 0.157 0.33 0.401
592 4 5.3609 11.3072 0.481 0.101 0.739 0.59 0.65 -0.013 1.313 0.638
596 80 5.0346 4.243 0.47 0.596 0.336 1.038 0.456 0.694 0.218 1.151
603 20 10.9804 1.8877 0.899 0.752 0.889 1.826 0.808 0.936 0.679 1.744
606 71 6.6519 3.4346 0.564 0.739 0.34 1.207 0.686 0.618 0.754 1.304
608 24 2.2733 10.2244 0.206 0.209 0.233 0.469 0.247 0.173 0.322 0.42
609 68 7.4755 3.145 0.587 0.693 0.433 1.416 0.39 0.747 0.033 1.137
614 44 1.9086 6.4173 0.185 0.424 0.022 0.593 0.296 0.631 -0.039 0.927
628 15 10.2531 7.9647 0.801 0.381 1.194 1.232 0.53 0.621 0.439 1.151
633 85 10.2375 0.5437 0.824 0.969 0.633 1.789 1.033 1.148 0.919 2.182
635 56 8.492 3.0068 0.699 0.719 0.693 1.504 0.696 0.732 0.661 1.428
650 87 4.426 9.4226 0.381 0.197 0.617 0.497 0.595 0.155 1.034 0.75
657 73 3.321 7.0333 0.311 0.441 0.169 0.816 0.22 0.618 -0.178 0.838
669 83 0.8703 2.2075 0.159 0.827 -0.525 1.081 -0.127 1.025 -1.278 0.899
689 70 5.1801 2.6651 0.451 0.758 0.125 1.179 0.483 0.86 0.107 1.343
691 94 5.4705 10.9149 0.481 0.101 1.004 0.657 0.65 -0.013 1.313 0.638
704 73 11.1101 0.8801 0.893 0.841 0.966 1.74 1.084 0.762 1.406 1.846
706 4 6.6393 6.5044 0.53 0.49 0.58 0.947 0.337 0.721 -0.046 1.058
712 3 2.0053 11.0589 0.2 0.131 0.223 0.314 -0.025 0.347 -0.397 0.323
714 21 2.4397 10.2371 0.206 0.209 0.267 0.532 0.247 0.173 0.322 0.42
715 19 6.5429 8.7227 0.559 0.279 0.856 0.82 0.752 0.126 1.377 0.878
726 89 4.0437 1.0736 0.401 0.909 -0.071 1.36 0.489 1.155 -0.177 1.644
729 94 5.5067 11.2907 0.481 0.101 0.828 0.613 0.65 -0.013 1.313 0.638
750 34 3.3666 5.9201 0.282 0.504 0.094 0.696 0.447 0.468 0.427 0.916
753 31 1.9394 2.8281 0.229 0.669 -0.299 1.082 0.06 0.45 -0.329 0.51
756 93 4.6169 0.9828 0.401 0.909 -0.008 1.293 0.489 1.155 -0.177 1.644
757 34 5.3292 1.0154 0.428 0.857 0.06 1.304 0.293 1.049 -0.463 1.342
759 95 11.2479 5.6499 0.87 0.577 1.096 1.431 0.688 0.305 1.072 0.993
762 68 8.3622 6.8499 0.691 0.432 0.881 1.111 0.961 0.466 1.455 1.427
767 20 3.6651 4.3789 0.286 0.614 -0.135 0.905 0.287 0.512 0.062 0.798
782 16 2.1921 0.5624 0.244 0.847 -0.415 1.259 0.164 1.034 -0.706 1.198
794 1 9.241 8.9287 0.737 0.301 1.265 1.088 0.586 0.585 0.587 1.171
796 55 7.6752 6.1829 0.654 0.446 0.893 1.026 0.58 0.72 0.44 1.299
801 61 9.7553 6.7379 0.758 0.43 1.219 1.396 0.944 0.657 1.231 1.601
814 45 1.9634 4.1262 0.22 0.626 -0.26 0.705 0.398 0.758 0.037 1.156
816 94 7.7049 2.6329 0.643 0.763 0.426 1.359 0.867 0.598 1.136 1.465
822 74 6.3619 0.9461 0.567 0.837 0.32 1.487 0.284 1.028 -0.46 1.312
824 57 3.0805 0.9703 0.306 0.886 -0.268 1.158 0.439 0.82 0.058 1.258
831 52 4.8616 7.7756 0.385 0.344 0.509 0.849 0.474 0.639 0.309 1.114
833 3 4.0551 6.6235 0.39 0.495 0.293 0.883 0.277 0.262 0.291 0.539
839 91 2.7838 4.7742 0.286 0.614 -0.071 0.834 0.287 0.512 0.062 0.798
856 29 9.0125 8.0156 0.672 0.358 0.946 1.04 0.93 0.506 1.355 1.436
870 91 0.9945 3.316 0.138 0.727 -0.446 0.839 0.31 0.839 -0.219 1.15
872 76 0.9097 10.8977 0.096 0.098 0.037 0.324 0.238 -0.005 0.482 0.233
874 24 7.6428 4.4484 0.607 0.596 0.645 1.169 0.818 0.317 1.32 1.136
880 27 4.958 9.8915 0.435 0.222 0.607 0.637 0.263 0.502 0.024 0.765
885 4 4.7159 0.9243 0.401 0.909 -0.22 1.302 0.489 1.155 -0.177 1.644
896 64 11.1125 6.8475 0.887 0.446 1.35 1.356 0.603 0.301 0.904 0.904
910 4 3.2012 7.9672 0.253 0.389 0.023 0.562 0.39 0.31 0.471 0.7
911 95 2.0008 0.6745 0.244 0.847 -0.267 1.057 0.164 1.034 -0.706 1.198
916 32 0.9162 3.5284 0.138 0.727 -0.383 0.836 0.31 0.839 -0.219 1.15
917 64 1.76 9.1278 0.242 0.286 0.117 0.566 0.22 0.478 -0.038 0.698
919 50 5.1544 11.4385 0.481 0.101 1.002 0.64 0.65 -0.013 1.313 0.638
921 58 8.875 9.0503 0.737 0.301 1.199 1.051 0.586 0.585 0.587 1.171
927 30 4.4055 11.274 0.355 0.133 0.484 0.495 0.188 0.372 0.004 0.56
936 88 1.8332 4.9866 0.207 0.546 -0.046 0.79 0.005 0.268 -0.258 0.273
937 68 2.125 6.4685 0.185 0.424 -0.045 0.561 0.296 0.631 -0.039 0.927
942 83 10.3453 11.3289 0.824 0.164 1.581 0.857 1.016 0.201 1.832 1.217
947 77 0.8047 5.7657 0.128 0.543 -0.242 0.593 -0.105 0.437 -0.648 0.332
949 38 0.8055 4.9885 0.128 0.543 -0.21 0.698 -0.105 0.437 -0.648 0.332
950 91 4.0155 4.5824 0.342 0.615 -0.095 0.957 0.277 0.517 0.037 0.794
951 85 1.6846 6.5043 0.185 0.424 -0.075 0.612 0.296 0.631 -0.039 0.927
970 69 5.5347 3.4759 0.476 0.711 0.174 1.037 0.422 0.936 -0.093 1.358
980 52 4.3406 5.0665 0.375 0.509 0.187 0.791 0.158 0.539 -0.223 0.696
981 23 5.22 6.7907 0.45 0.499 0.405 0.936 0.567 0.73 0.405 1.297
990 88 2.8949 8.6496 0.25 0.283 0.258 0.591 0.534 0.276 0.791 0.81
994 95 8.8352 10.0113 0.681 0.208 1.166 0.762 0.746 0.293 1.199 1.038
996 83 4.3649 0.5749 0.401 0.909 -0.152 1.298 0.489 1.155 -0.177 1.644
998 92 6.8338 0.7295 0.567 0.837 0.268 1.47 0.284 1.028 -0.46 1.312
1004 71 9.0987 6.7007 0.691 0.432 0.917 1.137 0.961 0.466 1.455 1.427
1014 56 0.7066 4.9156 0.128 0.543 -0.247 0.641 -0.105 0.437 -0.648 0.332
1021 2 0.6109 4.5672 0.126 0.606 -0.43 0.686 -0.041 0.518 -0.6 0.476
1022 48 8.8449 7.7531 0.672 0.358 0.94 1.192 0.93 0.506 1.355 1.436
1027 53 9.3663 8.1867 0.751 0.271 1.258 1.172 0.566 0.035 1.097 0.6
1030 59 8.3666 4.5034 0.719 0.625 0.891 1.368 0.519 0.555 0.484 1.074
1033 47 6.457 2.2272 0.578 0.776 0.342 1.384 0.74 0.827 0.653 1.566
1051 61 1.9397 11.1145 0.2 0.131 0.261 0.54 -0.025 0.347 -0.397 0.323
1060 75 4.9285 10.272 0.435 0.222 0.694 0.569 0.263 0.502 0.024 0.765
1065 3 9.6358 11.4313 0.824 0.164 1.554 1.043 1.016 0.201 1.832 1.217
1077 18 8.1558 6.5758 0.654 0.446 0.869 1.187 0.58 0.72 0.44 1.299
1092 61 10.2028 10.3292 0.81 0.176 1.598 1.023 0.902 -0.024 1.829 0.878
1095 15 4.3476 6.086 0.39 0.495 0.174 0.757 0.277 0.262 0.291 0.539
1102 5 5.5792 0.846 0.428 0.857 -0.038 1.336 0.293 1.049 -0.463 1.342
1104 55 7.4298 9.6784 0.584 0.209 1.065 0.825 0.715 0.131 1.298 0.845
1105 38 7.6886 6.8241 0.654 0.446 0.798 1.015 0.58 0.72 0.44 1.299
1107 28 7.324 5.4469 0.619 0.561 0.73 1.288 0.724 0.373 1.074 1.097
1124 36 8.0451 9.0492 0.61 0.299 1.047 0.845 0.883 0.361 1.405 1.244
1128 41 11.0557 6.9549 0.887 0.446 1.387 1.301 0.603 0.301 0.904 0.904
1140 14 4.2173 8.7555 0.37 0.311 0.38 0.765 0.354 0.584 0.123 0.938
1142 15 6.7343 7.4997 0.56 0.378 0.849 0.981 0.55 0.345 0.755 0.896
1144 97 5.6346 8.8981 0.49 0.25 0.785 0.774 0.659 0.146 1.173 0.806
1158 22 3.6508 8.8681 0.25 0.283 0.267 0.539 0.534 0.276 0.791 0.81
1168 64 10.1375 10.2859 0.81 0.176 1.332 0.972 0.902 -0.024 1.829 0.878
1171 5 6.8902 11.3548 0.55 0.155 0.921 0.729 0.269 0.103 0.435 0.372
1176 28 8.9457 11.3848 0.708 0.132 1.187 0.86 0.412 0.086 0.738 0.498
1177 20 3.2471 7.0361 0.311 0.441 0.146 0.783 0.22 0.618 -0.178 0.838
1180 19 5.6458 1.1537 0.428 0.857 0.058 1.255 0.293 1.049 -0.463 1.342
1182 44 7.7818 6.0442 0.654 0.446 0.924 0.997 0.58 0.72 0.44 1.299
1184 51 7.5563 7.5649 0.659 0.41 0.76 0.959 0.838 0.526 1.15 1.364
1187 27 2.0347 7.6175 0.187 0.348 0.007 0.473 0.087 0.387 -0.212 0.474
1189 99 8.6925 10.2337 0.681 0.208 1.22 0.775 0.746 0.293 1.199 1.038
1203 2 7.5147 3.4321 0.587 0.693 0.452 1.304 0.39 0.747 0.033 1.137
1206 63 6.0614 2.8261 0.564 0.739 0.506 1.269 0.686 0.618 0.754 1.304
1208 46 10.8888 2.9734 0.848 0.731 1.004 1.648 1.053 0.987 1.119 2.04
1211 2 3.9335 4.7907 0.342 0.615 0.038 0.892 0.277 0.517 0.037 0.794
1219 21 3.1501 1.2557 0.306 0.886 -0.273 1.201 0.439 0.82 0.058 1.258
1225 35 11.1756 0.4906 0.839 0.936 0.631 1.828 0.901 0.671 1.13 1.571
1226 49 5.1386 2.4296 0.451 0.758 0.099 1.173 0.483 0.86 0.107 1.343
1236 77 4.8662 7.8258 0.385 0.344 0.501 0.815 0.474 0.639 0.309 1.114
1238 47 10.0454 2.5029 0.76 0.782 0.765 1.499 0.565 1.081 0.048 1.646
1250 22 4.3661 1.7862 0.414 0.791 0.017 1.193 0.251 0.584 -0.082 0.835
1259 58 9.8203 11.3501 0.824 0.164 1.48 0.96 1.016 0.201 1.832 1.217
1264 1 1.7673 4.3623 0.22 0.626 -0.283 0.89 0.398 0.758 0.037 1.156
1269 2 3.1504 3.7199 0.32 0.688 0.028 1.129 0.172 0.471 -0.127 0.644
1282 17 5.9064 6.9261 0.45 0.499 0.401 0.919 0.567 0.73 0.405 1.297
1298 97 1.884 3.2798 0.229 0.669 -0.268 0.773 0.06 0.45 -0.329 0.51
1300 9 3.2637 11.3193 0.275 0.13 0.391 0.341 0.202 0.364 0.041 0.566
1301 37 10.6384 4.8354 0.892 0.589 1.258 1.436 0.913 0.777 1.05 1.69
1310 17 1.8227 0.5928 0.244 0.847 -0.283 1.117 0.164 1.034 -0.706 1.198
1324 56 5.7339 6.9281 0.45 0.499 0.334 1.021 0.567 0.73 0.405 1.297
1335 21 2.8625 1.9302 0.253 0.789 -0.311 0.922 0.121 0.712 -0.469 0.833
1347 4 8.1599 10.6374 0.651 0.139 1.291 0.815 0.63 0.334 0.926 0.964
1351 78 0.839 5.9595 0.128 0.543 -0.325 0.623 -0.105 0.437 -0.648 0.332
1355 24 8.1255 6.6669 0.654 0.446 0.917 1.181 0.58 0.72 0.44 1.299
1367 93 6.7197 4.1944 0.552 0.63 0.449 1.079 0.26 0.702 -0.182 0.962
1372 58 6.7346 0.9097 0.567 0.837 0.384 1.266 0.284 1.028 -0.46 1.312
1377 14 10.0509 9.9761 0.81 0.176 1.386 0.948 0.902 -0.024 1.829 0.878
1379 84 9.9318 7.9432 0.801 0.381 1.271 1.23 0.53 0.621 0.439 1.151
1395 55 9.2389 6.595 0.691 0.432 1.03 1.141 0.961 0.466 1.455 1.427
1400 98 7.6147 2.3005 0.643 0.763 0.548 1.293 0.867 0.598 1.136 1.465
1403 65 0.7753 7.9113 0.154 0.387 -0.097 0.517 -0.07 0.271 -0.411 0.201
1405 82 1.793 0.7182 0.244 0.847 -0.383 1.125 0.164 1.034 -0.706 1.198
1407 78 0.9863 10.0571 0.091 0.227 -0.124 0.293 0.112 0.026 0.198 0.137
1415 16 6.2165 4.1444 0.552 0.63 0.464 1.125 0.26 0.702 -0.182 0.962
1430 78 8.8057 1.0522 0.713 0.899 0.423 1.641 0.647 0.71 0.584 1.356
1434 32 5.373 5.3074 0.417 0.574 0.306 1.115 0.216 0.394 0.039 0.61
1452 41 6.5203 3.1515 0.564 0.739 0.435 1.221 0.686 0.618 0.754 1.304
1457 73 2.8685 6.1814 0.311 0.441 0.202 0.765 0.22 0.618 -0.178 0.838
1459 14 10.9251 7.8254 0.856 0.412 1.305 1.264 0.777 0.532 1.023 1.31
1460 11 3.3469 9.9716 0.28 0.234 0.232 0.498 0.244 0.157 0.33 0.401
1466 70 2.7562 8.8314 0.25 0.283 0.186 0.479 0.534 0.276 0.791 0.81
1471 95 9.0743 10.8304 0.708 0.132 1.281 0.891 0.412 0.086 0.738 0.498
1481 23 7.6816 0.8701 0.596 0.851 0.408 1.47 0.359 1.08 -0.363 1.439
1493 50 5.6153 1.2223 0.428 0.857 0.041 1.375 0.293 1.049 -0.463 1.342
1496 41 3.3402 9.7993 0.28 0.234 0.2 0.542 0.244 0.157 0.33 0.401
1503 23 6.7818 0.9406 0.567 0.837 0.297 1.311 0.284 1.028 -0.46 1.312
1506 89 10.2307 1.6511 0.76 0.782 0.567 1.457 0.565 1.081 0.048 1.646
1517 96 1.9587 4.3294 0.22 0.626 -0.173 0.768 0.398 0.758 0.037 1.156
1525 63 9.0604 1.7696 0.718 0.779 0.635 1.598 0.457 0.68 0.233 1.136
1546 37 11.2839 0.6235 0.893 0.841 0.985 1.799 1.084 0.762 1.406 1.846
1550 83 8.4565 3.8957 0.719 0.625 0.879 1.389 0.519 0.555 0.484 1.074
1552 24 11.3048 8.0465 0.856 0.412 1.274 1.34 0.777 0.532 1.023 1.31
1566 27 2.9607 3.658 0.32 0.688 -0.154 1.097 0.172 0.471 -0.127 0.644
1573 60 2.6562 10.0425 0.206 0.209 0.24 0.427 0.247 0.173 0.322 0.42
1582 94 0.8819 8.0328 0.154 0.387 -0.067 0.613 -0.07 0.271 -0.411 0.201
1583 23 11.2689 1.9138 0.899 0.752 1.125 1.631 0.808 0.936 0.679 1.744
1588 42 8.7551 6.4229 0.691 0.432 0.935 1.013 0.961 0.466 1.455 1.427
1593 54 11.0765 2.1698 0.899 0.752 1.085 1.703 0.808 0.936 0.679 1.744
1595 15 7.5473 2.0548 0.643 0.763 0.51 1.514 0.867 0.598 1.136 1.465
1615 82 8.5674 4.4924 0.719 0.625 0.842 1.238 0.519 0.555 0.484 1.074
1617 7 2.14 0.6255 0.244 0.847 -0.433 1.116 0.164 1.034 -0.706 1.198
1618 99 2.3157 10.2328 0.206 0.209 0.289 0.429 0.247 0.173 0.322 0.42
1627 38 1.8499 2.9915 0.229 0.669 -0.255 0.927 0.06 0.45 -0.329 0.51
1656 45 0.9092 8.9485 0.099 0.263 -0.038 0.336 0.024 0.474 -0.426 0.497
1667 10 4.2804 3.2426 0.343 0.707 -0.021 1.086 0.083 0.659 -0.493 0.742
1675 45 11.3238 6.8543 0.887 0.446 1.36 1.286 0.603 0.301 0.904 0.904
1677 26 7.4724 3.2233 0.587 0.693 0.532 1.207 0.39 0.747 0.033 1.137
1689 3 8.6348 1.7346 0.718 0.779 0.666 1.468 0.457 0.68 0.233 1.136
1699 60 2.9657 7.7233 0.253 0.389 0.208 0.655 0.39 0.31 0.471 0.7
1709 58 0.6174 11.2901 0.096 0.098 0.018 0.236 0.238 -0.005 0.482 0.233
1710 50 8.1838 8.5512 0.737 0.301 1.287 0.871 0.586 0.585 0.587 1.171
1727 66 3.0597 3.4169 0.32 0.688 0.007 0.833 0.172 0.471 -0.127 0.644
1736 61 2.8166 6.2877 0.311 0.441 0.148 0.86 0.22 0.618 -0.178 0.838
1737 19 4.2714 11.3386 0.355 0.133 0.538 0.607 0.188 0.372 0.004 0.56
1748 15 4.7492 3.4015 0.343 0.707 0.049 1.073 0.083 0.659 -0.493 0.742
1752 69 8.2785 9.8497 0.681 0.208 1.185 1.027 0.746 0.293 1.199 1.038
1758 79 1.8826 5.0991 0.207 0.546 -0.202 0.78 0.005 0.268 -0.258 0.273
1763 10 9.077 7.815 0.672 0.358 1.102 0.978 0.93 0.506 1.355 1.436
1767 8 4.0984 3.5436 0.343 0.707 0.03 1.099 0.083 0.659 -0.493 0.742
1773 23 6.8189 6.6936 0.53 0.49 0.545 1.116 0.337 0.721 -0.046 1.058
1776 88 2.1648 5.3526 0.207 0.546 -0.138 0.774 0.005 0.268 -0.258 0.273
1779 27 0.8273 2.0045 0.159 0.827 -0.572 0.907 -0.127 1.025 -1.278 0.899
1781 6 8.6684 3.4112 0.699 0.719 0.641 1.335 0.696 0.732 0.661 1.428
1784 34 10.4531 5.918 0.87 0.577 1.24 1.306 0.688 0.305 1.072 0.993
1785 6 2.211 3.0738 0.229 0.669 -0.253 0.872 0.06 0.45 -0.329 0.51
1790 89 5.8014 8.8855 0.49 0.25 0.671 0.665 0.659 0.146 1.173 0.806
1797 20 2.8324 8.852 0.25 0.283 0.244 0.49 0.534 0.276 0.791 0.81
1801 17 6.915 11.1357 0.55 0.155 0.949 0.735 0.269 0.103 0.435 0.372
1804 27 5.5032 11.0592 0.481 0.101 0.878 0.675 0.65 -0.013 1.313 0.638
1808 47 2.0505 4.3608 0.22 0.626 -0.123 0.962 0.398 0.758 0.037 1.156
1819 77 0.8067 7.9003 0.154 0.387 -0.049 0.586 -0.07 0.271 -0.411 0.201
1829 60 8.8076 7.6027 0.672 0.358 0.946 1.08 0.93 0.506 1.355 1.436
1836 57 10.9983 2.9856 0.848 0.731 1.037 1.689 1.053 0.987 1.119 2.04
1846 2 6.3952 6.8841 0.53 0.49 0.468 1.157 0.337 0.721 -0.046 1.058
1853 26 7.8818 11.3633 0.651 0.139 1.071 0.8 0.63 0.334 0.926 0.964
1869 76 10.0091 5.3213 0.811 0.538 1.038 1.384 0.855 0.28 1.431 1.136
1871 57 5.4306 7.7821 0.451 0.347 0.498 0.663 0.249 0.105 0.393 0.354
1880 53 6.5331 1.6556 0.578 0.776 0.392 1.371 0.74 0.827 0.653 1.566
1886 46 7.6881 5.8733 0.619 0.561 0.795 1.209 0.724 0.373 1.074 1.097
1891 5 0.887 1.2744 0.14 0.865 -0.521 1.167 0.401 0.718 0.084 1.119
1897 9 2.0421 0.9952 0.244 0.847 -0.288 1.055 0.164 1.034 -0.706 1.198
1898 25 7.328 5.8947 0.619 0.561 0.621 1.318 0.724 0.373 1.074 1.097
1899 6 7.27 3.2149 0.587 0.693 0.565 1.344 0.39 0.747 0.033 1.137
1902 57 5.5119 8.9647 0.49 0.25 0.83 0.76 0.659 0.146 1.173 0.806
1903 53 8.7835 4.9524 0.699 0.538 0.941 1.091 0.81 0.38 1.239 1.19
1915 13 8.7793 10.1338 0.681 0.208 1.151 0.836 0.746 0.293 1.199 1.038
1925 31 5.5851 1.1209 0.428 0.857 0.058 1.381 0.293 1.049 -0.463 1.342
1936 3 4.0225 5.0504 0.375 0.509 0.187 0.864 0.158 0.539 -0.223 0.696
1941 30 0.8868 2.0456 0.159 0.827 -0.355 1.073 -0.127 1.025 -1.278 0.899
1942 5 5.6548 2.2117 0.451 0.758 0.137 1.051 0.483 0.86 0.107 1.343
1950 99 0.9543 3.603 0.138 0.727 -0.407 0.834 0.31 0.839 -0.219 1.15
1951 32 7.4484 3.3868 0.587 0.693 0.49 1.29 0.39 0.747 0.033 1.137
1958 82 3.0489 8.0552 0.253 0.389 0.172 0.825 0.39 0.31 0.471 0.7
1970 19 5.8855 8.7256 0.49 0.25 0.74 0.913 0.659 0.146 1.173 0.806
1975 60 4.532 0.6607 0.401 0.909 -0.058 1.21 0.489 1.155 -0.177 1.644
1977 33 7.7847 4.7707 0.607 0.596 0.655 1.156 0.818 0.317 1.32 1.136
1978 38 4.7569 4.2438 0.342 0.615 -0.062 0.886 0.277 0.517 0.037 0.794
1983 21 7.6189 2.4408 0.643 0.763 0.56 1.413 0.867 0.598 1.136 1.465
1989 17 3.9978 1.89 0.414 0.791 -0.054 1.171 0.251 0.584 -0.082 0.835
1992 4 0.9342 4.6899 0.126 0.606 -0.292 0.7 -0.041 0.518 -0.6 0.476
1993 92 5.6097 6.9072 0.45 0.499 0.437 0.824 0.567 0.73 0.405 1.297
1996 10 3.3649 0.7745 0.306 0.886 -0.281 1.111 0.439 0.82 0.058 1.258
